territory,ec_number,participants_number,given_bulletins_number,returned_bulletins_number,invalid_bulletins_number,turnout,yes_votes_total,yes_votes_percentage,no_votes_total,no_votes_percentage
Александровская,370,156,98,98,0,63.00,84,85.71,14,14.29
Александровская,371,288,175,175,0,61.00,150,85.71,25,14.29
Александровская,372,245,130,130,0,53.00,105,80.77,25,19.23
Александровская,373,887,339,339,8,38.00,201,59.29,130,38.35
Александровская,374,1020,500,500,5,49.00,283,56.6,212,42.4
Александровская,375,959,468,468,7,49.00,279,59.62,182,38.89
Александровская,376,959,446,446,9,47.00,231,51.79,206,46.19
Александровская,377,68,37,37,1,54.00,31,83.78,5,13.51
Александровская,378,887,406,406,3,46.00,238,58.62,165,40.64
Александровская,379,993,468,467,6,47.00,262,56.1,199,42.61
Александровская,380,151,80,80,0,53.00,60,75,20,25
Александровская,381,116,78,78,0,67.00,54,69.23,24,30.77
Асиновская,258,275,161,161,2,59.00,111,68.94,48,29.81
Асиновская,259,1976,862,862,9,44.00,570,66.13,283,32.83
Асиновская,260,1667,729,729,13,44.00,467,64.06,249,34.16
Асиновская,261,1456,722,722,6,50.00,502,69.53,214,29.64
Асиновская,262,380,253,253,0,67.00,173,68.38,80,31.62
Асиновская,263,680,320,320,4,47.00,227,70.94,89,27.81
Асиновская,264,714,330,330,7,46.00,220,66.67,103,31.21
Асиновская,265,1534,686,686,1,45.00,461,67.2,224,32.65
Асиновская,266,594,222,222,1,37.00,149,67.12,72,32.43
Асиновская,267,1117,432,432,4,39.00,255,59.03,173,40.05
Асиновская,268,1321,628,628,13,48.00,430,68.47,185,29.46
Асиновская,269,1378,600,600,4,44.00,446,74.33,150,25
Асиновская,270,1318,470,470,4,36.00,327,69.57,139,29.57
Асиновская,271,1938,693,693,4,36.00,466,67.24,223,32.18
Асиновская,272,1419,664,664,8,47.00,468,70.48,188,28.31
Асиновская,273,637,287,287,1,45.00,232,80.84,54,18.82
Асиновская,274,589,324,324,3,55.00,246,75.93,75,23.15
Асиновская,275,633,245,245,3,39.00,164,66.94,78,31.84
Асиновская,276,70,51,51,1,73.00,42,82.35,8,15.69
Асиновская,277,516,345,345,2,67.00,274,79.42,69,20
Асиновская,278,570,389,389,4,68.00,279,71.72,106,27.25
Асиновская,279,111,92,92,0,83.00,85,92.39,7,7.61
Асиновская,280,78,67,67,1,86.00,49,73.13,17,25.37
Асиновская,281,99,77,77,0,78.00,63,81.82,14,18.18
Асиновская,282,538,267,267,2,50.00,219,82.02,46,17.23
Асиновская,283,196,98,98,2,50.00,75,76.53,21,21.43
Асиновская,284,251,191,191,0,76.00,134,70.16,57,29.84
Асиновская,285,772,364,364,1,47.00,294,80.77,69,18.96
Асиновская,286,295,217,217,5,74.00,145,66.82,67,30.88
Асиновская,287,827,497,497,3,60.00,320,64.39,174,35.01
Асиновская,288,285,177,177,1,62.00,144,81.36,32,18.08
Асиновская,289,259,146,146,1,56.00,118,80.82,27,18.49
Асиновская,290,390,240,240,1,62.00,177,73.75,62,25.83
Асиновская,291,279,165,165,2,59.00,135,81.82,28,16.97
Асиновская,292,153,109,109,0,71.00,98,89.91,11,10.09
Асиновская,293,101,83,83,0,82.00,73,87.95,10,12.05
Асиновская,294,118,98,98,0,83.00,68,69.39,30,30.61
Асиновская,295,232,157,157,1,68.00,100,63.69,56,35.67
Асиновская,296,103,81,81,1,79.00,63,77.78,17,20.99
Асиновская,297,434,343,343,0,79.00,252,73.47,91,26.53
Асиновская,298,139,92,92,1,66.00,64,69.57,27,29.35
Асиновская,299,637,435,435,4,68.00,297,68.28,134,30.8
