territory,ec_number,participants_number,given_bulletins_number,returned_bulletins_number,invalid_bulletins_number,turnout,yes_votes_total,yes_votes_percentage,no_votes_total,no_votes_percentage
Агульская,1,99,76,76,0,76.767676767677,59,77.63,17,22.37
Агульская,2,130,125,125,0,96.153846153846,122,97.6,3,2.4
Агульская,3,152,121,121,0,79.605263157895,113,93.39,8,6.61
Агульская,4,457,367,367,2,80.306345733042,354,96.46,11,2.99
Агульская,5,241,231,231,1,95.850622406639,216,93.51,14,6.06
Агульская,6,236,218,218,0,92.372881355932,206,94.5,12,5.5
Агульская,7,291,272,272,0,93.470790378007,263,96.69,9,3.31
Агульская,8,191,181,181,0,94.764397905759,180,99.45,1,.55
Агульская,9,190,182,182,2,95.789473684211,177,97.25,3,1.65
Агульская,10,777,710,710,0,91.377091377091,697,98.17,13,1.83
Агульская,11,1375,1287,1243,44,93.600000000000,1162,93.48,37,2.98
Агульская,12,341,315,315,2,92.375366568915,297,94.29,16,5.08
Агульская,13,417,391,391,0,93.764988009592,357,91.3,34,8.7
Агульская,14,317,297,297,1,93.690851735016,278,93.6,18,6.06
Агульская,15,290,264,264,0,91.034482758621,258,97.73,6,2.27
Агульская,16,11,9,9,0,81.818181818182,8,88.89,1,11.11
Агульская,17,150,144,144,0,96.000000000000,139,96.53,5,3.47
Агульская,18,27,25,25,0,92.592592592593,24,96,1,4
Агульская,19,27,24,24,0,88.888888888889,23,95.83,1,4.17
Акушинская,20,224,205,205,0,91.517857142857,191,93.17,14,6.83
Акушинская,21,338,306,306,0,90.532544378698,285,93.14,21,6.86
Акушинская,22,1440,1325,1325,3,92.013888888889,1228,92.68,94,7.09
Акушинская,23,509,471,471,0,92.534381139489,438,92.99,33,7.01
Акушинская,24,1107,1070,1070,21,96.657633242999,980,91.59,69,6.45
Акушинская,25,324,301,301,0,92.901234567901,280,93.02,21,6.98
Акушинская,26,419,381,381,0,90.930787589499,354,92.91,27,7.09
Акушинская,27,858,780,780,0,90.909090909091,725,92.95,55,7.05
Акушинская,28,36,32,32,0,88.888888888889,30,93.75,2,6.25
Акушинская,29,542,496,496,0,91.512915129151,461,92.94,35,7.06
Акушинская,30,1147,1035,1035,0,90.235396687010,963,93.04,72,6.96
Акушинская,31,193,175,175,0,90.673575129534,163,93.14,12,6.86
Акушинская,32,684,622,622,0,90.935672514620,578,92.93,44,7.07
Акушинская,33,72,65,65,0,90.277777777778,60,92.31,5,7.69
Акушинская,34,76,63,63,0,82.894736842105,59,93.65,4,6.35
Акушинская,35,1278,1160,1160,0,90.766823161189,1079,93.02,81,6.98
Акушинская,36,1074,966,966,0,89.944134078212,898,92.96,68,7.04
Акушинская,37,568,516,516,0,90.845070422535,480,93.02,36,6.98
Акушинская,38,493,450,450,0,91.277890466531,419,93.11,31,6.89
Акушинская,39,1135,1036,1036,0,91.277533039648,963,92.95,73,7.05
Акушинская,40,491,440,440,0,89.613034623218,409,92.95,31,7.05
Акушинская,41,1035,941,941,0,90.917874396135,875,92.99,66,7.01
Акушинская,42,923,820,820,0,88.840736728061,763,93.05,57,6.95
Акушинская,43,994,890,890,0,89.537223340040,828,93.03,62,6.97
Акушинская,44,461,412,412,0,89.370932754881,383,92.96,29,7.04
Акушинская,45,792,710,710,0,89.646464646465,660,92.96,50,7.04
Акушинская,46,320,289,289,0,90.312500000000,269,93.08,20,6.92
Акушинская,47,133,121,121,0,90.977443609023,113,93.39,8,6.61
Акушинская,48,440,402,402,0,91.363636363636,374,93.03,28,6.97
Акушинская,49,210,185,185,0,88.095238095238,172,92.97,13,7.03
Акушинская,50,83,72,72,0,86.746987951807,67,93.06,5,6.94
Акушинская,51,1141,1033,1033,0,90.534618755478,961,93.03,72,6.97
Акушинская,52,883,808,808,0,91.506228765572,752,93.07,56,6.93
Акушинская,53,229,201,201,0,87.772925764192,187,93.03,14,6.97
Акушинская,54,115,100,100,0,86.956521739130,93,93,7,7
Акушинская,55,189,171,171,0,90.476190476190,159,92.98,12,7.02
Акушинская,56,405,370,370,0,91.358024691358,344,92.97,26,7.03
Акушинская,57,549,502,502,0,91.438979963570,467,93.03,35,6.97
Акушинская,58,200,170,170,0,85.000000000000,158,92.94,12,7.06
Акушинская,59,127,114,114,0,89.763779527559,106,92.98,8,7.02
Акушинская,60,1240,1119,1119,0,90.241935483871,1041,93.03,78,6.97
Акушинская,61,227,190,190,0,83.700440528634,177,93.16,13,6.84
Акушинская,62,560,504,504,0,90.000000000000,469,93.06,35,6.94
Акушинская,63,910,822,822,0,90.329670329670,764,92.94,58,7.06
Акушинская,64,225,203,203,1,90.222222222222,188,92.61,14,6.9
Акушинская,65,158,142,142,0,89.873417721519,132,92.96,10,7.04
Акушинская,66,1650,1494,1494,0,90.545454545455,1389,92.97,105,7.03
Акушинская,67,728,665,665,0,91.346153846154,618,92.93,47,7.07
Акушинская,68,253,231,231,0,91.304347826087,215,93.07,16,6.93
Акушинская,69,565,511,511,0,90.442477876106,475,92.95,36,7.05
Акушинская,70,188,173,173,0,92.021276595745,161,93.06,12,6.94
Акушинская,71,320,293,293,1,91.562500000000,272,92.83,20,6.83
Ахвахская,72,1946,1701,1701,2,87.410071942446,1461,85.89,238,13.99
Ахвахская,73,595,486,486,0,81.680672268908,429,88.27,57,11.73
Ахвахская,74,189,157,157,0,83.068783068783,141,89.81,16,10.19
Ахвахская,75,116,104,104,0,89.655172413793,95,91.35,9,8.65
Ахвахская,76,476,387,387,1,81.302521008403,354,91.47,32,8.27
Ахвахская,77,41,27,27,0,65.853658536585,13,48.15,14,51.85
Ахвахская,78,132,116,116,0,87.878787878788,103,88.79,13,11.21
Ахвахская,79,226,200,200,1,88.495575221239,173,86.5,26,13
Ахвахская,80,80,74,74,0,92.500000000000,67,90.54,7,9.46
Ахвахская,81,341,309,309,0,90.615835777126,275,88.99,34,11
Ахвахская,82,694,590,590,5,85.014409221902,520,88.14,65,11.02
Ахвахская,83,432,358,358,0,82.870370370370,293,81.84,65,18.16
Ахвахская,84,436,348,348,0,79.816513761468,313,89.94,35,10.06
Ахвахская,85,461,382,382,0,82.863340563991,333,87.17,49,12.83
Ахвахская,86,974,723,712,0,74.229979466119,636,89.33,76,10.67
Ахвахская,87,800,700,700,2,87.500000000000,632,90.29,66,9.43
Ахвахская,88,307,273,273,0,88.925081433225,271,99.27,2,.73
Ахвахская,89,559,513,513,1,91.771019677996,444,86.55,68,13.26
Ахвахская,90,400,352,352,0,88.000000000000,307,87.22,45,12.78
Ахвахская,91,86,76,76,0,88.372093023256,69,90.79,7,9.21
Ахвахская,92,195,167,167,0,85.641025641026,148,88.62,19,11.38
Ахвахская,93,326,292,292,0,89.570552147239,248,84.93,44,15.07
Ахвахская,94,629,525,525,0,83.465818759936,473,90.1,52,9.9
Ахвахская,95,418,373,373,0,89.234449760766,330,88.47,43,11.53
Ахвахская,96,389,363,363,8,93.316195372751,301,82.92,54,14.88
Ахвахская,97,394,364,364,0,92.385786802030,311,85.44,53,14.56
Ахвахская,98,323,298,298,0,92.260061919505,254,85.23,44,14.77
Ахвахская,99,108,98,98,0,90.740740740741,89,90.82,9,9.18
Ахвахская,100,181,167,167,1,92.265193370166,145,86.83,21,12.57
Ахвахская,101,65,63,63,0,96.923076923077,57,90.48,6,9.52
Ахвахская,102,327,306,306,2,93.577981651376,256,83.66,48,15.69
Ахвахская,103,713,646,646,0,90.603085553997,550,85.14,96,14.86
Ахвахская,104,743,655,655,0,88.156123822342,558,85.19,97,14.81
Ахвахская,105,435,409,409,13,94.022988505747,332,81.17,64,15.65
Ахтынская,106,1071,960,960,10,89.635854341737,794,82.71,156,16.25
Ахтынская,107,1160,970,970,1,83.620689655172,922,95.05,47,4.85
Ахтынская,108,661,538,538,0,81.391830559758,511,94.98,27,5.02
Ахтынская,109,1212,1003,1003,22,82.755775577558,960,95.71,21,2.09
Ахтынская,110,534,456,456,0,85.393258426966,432,94.74,24,5.26
Ахтынская,111,96,84,84,0,87.500000000000,81,96.43,3,3.57
Ахтынская,112,1105,920,920,1,83.257918552036,876,95.22,43,4.67
Ахтынская,113,1168,920,920,0,78.767123287671,828,90,92,10
Ахтынская,114,662,552,552,5,83.383685800604,500,90.58,47,8.51
Ахтынская,115,151,136,136,0,90.066225165563,127,93.38,9,6.62
